sid,lat,long,easting,northing
5050,-45.6645561,166.6181116,2013053,5485507
5051,-45.6650093,166.6192966,2013149,5485464
5052,-45.6657175,166.6201957,2013225,5485391
5053,-45.6662141,166.6213502,2013319,5485343
5054,-45.6665362,166.6226142,2013420,5485315
5101,-45.6419963,166.5881703,2010530,5487824
5102,-45.6412562,166.5889867,2010587,5487911
5103,-45.6410121,166.5902879,2010686,5487946
5104,-45.6401593,166.5908596,2010723,5488044
5105,-45.6395284,166.5918567,2010795,5488120
5106,-45.6386769,166.5924539,2010834,5488218
5107,-45.637887,166.5931858,2010884,5488310
5108,-45.6371393,166.5940287,2010943,5488398
5109,-45.636469,166.5949658,2011010,5488478
5110,-45.6360668,166.5961816,2011101,5488530
5201,-45.6389289,166.5601455,2008325,5487992
5202,-45.63827,166.5611204,2008395,5488071
5203,-45.6376573,166.5621157,2008467,5488145
5204,-45.6370274,166.5631259,2008540,5488221
5205,-45.6363871,166.5641115,2008611,5488298
5206,-45.6359949,166.5653393,2008703,5488349
5207,-45.635622,166.5665906,2008797,5488398
5208,-45.6357061,166.5679448,2008903,5488397
5209,-45.6358163,166.5692833,2009008,5488393
5210,-45.6358907,166.5706257,2009113,5488393
5211,-45.6362051,166.5719026,2009215,5488366
5212,-45.6354472,166.5727212,2009272,5488455
5213,-45.6346152,166.5733422,2009313,5488551
5214,-45.6342415,166.5745807,2009406,5488600
5215,-45.6335133,166.5754473,2009467,5488686
5216,-45.6326258,166.5758816,2009493,5488787
5217,-45.6316826,166.5759619,2009491,5488892
5218,-45.6307583,166.5762202,2009503,5488996
5219,-45.629813,166.5762621,2009498,5489101
5220,-45.628899,166.576545,2009512,5489204
5221,-45.6281417,166.5757425,2009443,5489283
5222,-45.6272516,166.5753152,2009402,5489379
5223,-45.626441,166.575998,2009448,5489473
5224,-45.625672,166.5767791,2009502,5489563
5225,-45.6250903,166.5778477,2009580,5489634
5226,-45.6243414,166.5786651,2009637,5489722
5227,-45.6238826,166.5798356,2009724,5489780
5228,-45.6235179,166.5810728,2009817,5489828
5229,-45.6231724,166.5823335,2009912,5489874
5230,-45.6231397,166.5837005,2010018,5489886
5231,-45.6237139,166.5847808,2010107,5489829
5232,-45.6242101,166.5859213,2010200,5489781
5233,-45.6246029,166.5871506,2010299,5489745
5234,-45.6254159,166.5878182,2010358,5489659
5235,-45.6263088,166.5882969,2010403,5489563
5236,-45.6270668,166.5891122,2010473,5489484
5237,-45.6269441,166.5903223,2010566,5489505
5238,-45.626592,166.5913007,2010639,5489550
5301,-45.6398395,166.5604545,2008357,5487893
5302,-45.6401975,166.5617008,2008457,5487861
5303,-45.6405629,166.5629205,2008555,5487828
5304,-45.6408422,166.5642143,2008658,5487805
5305,-45.6413986,166.5652967,2008747,5487750
5306,-45.6420046,166.5662964,2008830,5487689
5307,-45.6422404,166.5676208,2008935,5487671
5308,-45.6425362,166.568887,2009036,5487646
5309,-45.6430415,166.5700268,2009129,5487597
5310,-45.6431421,166.5713536,2009233,5487594
5311,-45.6435516,166.5725556,2009330,5487556
5312,-45.6442519,166.5734676,2009407,5487484
5313,-45.64474,166.5746222,2009501,5487437
5314,-45.6448405,166.575949,2009605,5487434
5315,-45.6448244,166.577289,2009709,5487444
5316,-45.6447992,166.57863,2009813,5487455
5317,-45.644565,166.579943,2009913,5487489
5318,-45.6443673,166.5812648,2010014,5487519
5319,-45.6437939,166.58232,2010091,5487589
5320,-45.6437508,166.583663,2010195,5487602
5321,-45.6431021,166.5846623,2010267,5487680
5322,-45.6423828,166.5855279,2010328,5487765
5323,-45.6422672,166.5868661,2010431,5487786
5401,-45.6576254,166.5540601,2008016,5485883
5402,-45.6569257,166.55495,2008079,5485966
5403,-45.6566544,166.5562418,2008177,5486004
5404,-45.6558343,166.5569135,2008222,5486099
5405,-45.6550625,166.5576441,2008272,5486189
5406,-45.6543628,166.5585338,2008335,5486272
5407,-45.6542407,166.5599117,2008441,5486294
5408,-45.65452,166.5612058,2008544,5486271
5409,-45.6548614,166.56248,2008646,5486241
5410,-45.655018,166.5638394,2008753,5486232
5411,-45.6557694,166.5646942,2008826,5486154
5412,-45.6560914,166.5659449,2008926,5486126
5413,-45.6564051,166.5672094,2009027,5486099
5414,-45.6566313,166.5685224,2009131,5486082
5415,-45.6572573,166.5695587,2009217,5486019
5416,-45.6575537,166.5708381,2009319,5485994
5417,-45.6574949,166.5722218,2009426,5486009
5418,-45.657392,166.5736234,2009534,5486029
5419,-45.6578001,166.5748001,2009629,5485991
5420,-45.6580861,166.5760549,2009729,5485967
5421,-45.6575722,166.5772067,2009814,5486031
5422,-45.6571447,166.5784517,2009907,5486086
5423,-45.6564502,166.5792762,2009965,5486168
5424,-45.6557345,166.5802061,2010031,5486253
5425,-45.6552855,166.5813891,2010119,5486310
5426,-45.6548012,166.5825889,2010208,5486371
5427,-45.6540039,166.5833476,2010260,5486464
5428,-45.6533648,166.5843589,2010333,5486541
5429,-45.6526634,166.5852226,2010394,5486624
5430,-45.6517245,166.5853796,2010398,5486729
5431,-45.6508174,166.585623,2010409,5486831
5432,-45.6498883,166.585959,2010427,5486936
5433,-45.6489544,166.5857164,2010400,5487038
5434,-45.6480041,166.5856687,2010388,5487143
5435,-45.647131,166.586037,2010409,5487242
5436,-45.646184,166.5863749,2010427,5487349
5437,-45.6452179,166.5863676,2010418,5487456
5438,-45.6442527,166.5865403,2010423,5487564
5439,-45.6433451,166.5869381,2010446,5487667
5501,-45.6691658,166.5768165,2009885,5484744
5502,-45.6682593,166.5764164,2009846,5484842
5503,-45.6674806,166.5771863,2009899,5484933
5504,-45.6669943,166.578348,2009985,5484994
5505,-45.666508,166.5795097,2010071,5485055
5506,-45.6658883,166.5805447,2010146,5485130
5507,-45.6658004,166.5818933,2010250,5485148
5508,-45.6652947,166.5830314,2010334,5485211
5509,-45.6644204,166.5835415,2010366,5485311
5510,-45.6634968,166.5838126,2010379,5485415
5511,-45.6627574,166.5846422,2010437,5485502
5512,-45.662374,166.5858694,2010529,5485552
5513,-45.6621486,166.5871818,2010629,5485585
5514,-45.6613394,166.5878905,2010677,5485679
5515,-45.660815,166.5890176,2010760,5485744
5516,-45.6604784,166.5902781,2010855,5485789
5517,-45.6601336,166.5915524,2010951,5485835
5518,-45.6597225,166.5927698,2011042,5485888
5519,-45.6592077,166.5939086,2011126,5485952
5520,-45.6584461,166.5946633,2011178,5486041
5521,-45.657941,166.5958139,2011263,5486104
5522,-45.6574255,166.5969399,2011346,5486168
5523,-45.6565275,166.5973494,2011370,5486270
5524,-45.6556898,166.5967226,2011314,5486359
5525,-45.6548272,166.5972826,2011350,5486458
5526,-45.6544063,166.598488,2011440,5486512
5527,-45.6536682,166.5993429,2011500,5486599
5528,-45.6534151,166.6006453,2011599,5486635
5529,-45.6529479,166.60183,2011687,5486694
5530,-45.6523854,166.6029225,2011767,5486763
5531,-45.6521136,166.6042141,2011865,5486801
5532,-45.6516187,166.6053891,2011952,5486863
5533,-45.6513096,166.606659,2012048,5486905
5534,-45.6512214,166.6080072,2012152,5486923
5535,-45.6511497,166.6093278,2012254,5486939
5601,-45.6694216,166.5781779,2009993,5484724
5602,-45.6698214,166.5793688,2010089,5484687
5603,-45.6700033,166.5807,2010194,5484675
5604,-45.6696564,166.5819361,2010287,5484721
5605,-45.6693379,166.5831948,2010382,5484764
5606,-45.6694742,166.5845183,2010486,5484757
5607,-45.6696291,166.5858525,2010591,5484748
5608,-45.669265,166.5871034,2010685,5484796
5609,-45.669366,166.5884437,2010790,5484793
5610,-45.6695905,166.5897315,2010892,5484776
5611,-45.6697537,166.591052,2010996,5484766
5612,-45.6701554,166.5922813,2011095,5484729
5613,-45.6704778,166.5935452,2011196,5484701
5614,-45.6704525,166.5948868,2011300,5484712
5615,-45.6710004,166.5959839,2011390,5484658
5616,-45.6715303,166.5970831,2011480,5484606
5617,-45.6715063,166.5984503,2011586,5484617
5618,-45.6716162,166.5997896,2011691,5484613
5619,-45.6716095,166.6011421,2011796,5484622
5620,-45.6715303,166.6024897,2011900,5484639
5621,-45.6710431,166.6036385,2011985,5484700
5622,-45.6707899,166.6049413,2012084,5484736
5623,-45.6704277,166.6062305,2012181,5484784
5624,-45.670258,166.6075754,2012284,5484811
5625,-45.670305,166.6089217,2012389,5484814
5626,-45.6705921,166.6102026,2012491,5484790
5627,-45.6705183,166.6114853,2012590,5484806
5628,-45.6705142,166.6128888,2012699,5484815
5629,-45.6714604,166.6130276,2012718,5484711
5630,-45.6717902,166.6142651,2012817,5484682
5631,-45.6720606,166.6155736,2012921,5484660
5632,-45.6716707,166.616853,2013017,5484711
5633,-45.6712862,166.6180674,2013108,5484761
5634,-45.6714565,166.6193614,2013210,5484750
5701,-45.6710683,166.6203445,2013283,5484799
5702,-45.6702367,166.6209781,2013325,5484895
5703,-45.6696256,166.6220118,2013400,5484969
5704,-45.6687504,166.6225085,2013431,5485069
5705,-45.6680813,166.6234714,2013500,5485149
5706,-45.6671486,166.6237429,2013513,5485254
5707,-45.6672141,166.6251,2013619,5485255
5708,-45.6672519,166.6264473,2013724,5485259
5709,-45.6671089,166.627789,2013827,5485283
5710,-45.6669839,166.6291288,2013930,5485305
5711,-45.6668954,166.6304773,2014034,5485323
5712,-45.6666606,166.6317906,2014134,5485357
5713,-45.6659022,166.6326089,2014191,5485446
5714,-45.664975,166.6328152,2014199,5485550
5715,-45.6640983,166.6332862,2014228,5485650
5716,-45.6635355,166.6343786,2014308,5485719
5717,-45.6629057,166.6354012,2014382,5485795
5718,-45.662065,166.6360355,2014424,5485892
5719,-45.6613453,166.6369007,2014485,5485977
5720,-45.6606029,166.6378458,2014552,5486065
5801,-45.6866749,166.5678539,2009342,5482749
5802,-45.6860919,166.5688982,2009418,5482820
5803,-45.6857972,166.5702577,2009521,5482861
5804,-45.6857474,166.5716412,2009628,5482875
5805,-45.6854117,166.5729151,2009724,5482920
5806,-45.6853357,166.5743143,2009832,5482937
5807,-45.6847218,166.5754522,2009915,5483012
5808,-45.6843046,166.5767224,2010010,5483066
5809,-45.6838115,166.5779238,2010099,5483128
5810,-45.6831725,166.5789357,2010172,5483205
5811,-45.6828755,166.5802566,2010272,5483246
5812,-45.6826136,166.5815608,2010371,5483283
5813,-45.6829343,166.5829539,2010482,5483256
5814,-45.6828982,166.5844258,2010596,5483269
5815,-45.6829104,166.5857893,2010702,5483276
5816,-45.6827865,166.5871423,2010806,5483298
5817,-45.6826916,166.5885306,2010913,5483317
5818,-45.682652,166.5899385,2011022,5483330
5819,-45.6827925,166.5913391,2011132,5483323
5820,-45.6828404,166.5926985,2011238,5483326
5821,-45.6829379,166.5946318,2011389,5483327
5822,-45.6819987,166.5951106,2011418,5483434
5823,-45.6810795,166.5956257,2011450,5483539
5824,-45.6802329,166.596313,2011496,5483637
5825,-45.6794975,166.5970521,2011547,5483723
5826,-45.6795213,166.5984657,2011657,5483729
5827,-45.679056,166.599522,2011735,5483787
5828,-45.6782682,166.6002927,2011788,5483879
5829,-45.6783981,166.6016686,2011896,5483873
5830,-45.6788052,166.6028332,2011990,5483835
5831,-45.6793612,166.6039167,2012079,5483780
5832,-45.6799255,166.6049865,2012167,5483724
5833,-45.6799001,166.6063283,2012271,5483735
5834,-45.6801699,166.6076242,2012374,5483713
5835,-45.6802059,166.6089334,2012476,5483717
5836,-45.6801245,166.6102429,2012577,5483734
5837,-45.6798809,166.6115577,2012677,5483769
5838,-45.6795297,166.6128844,2012777,5483816
5839,-45.6795117,166.6141996,2012879,5483826
5840,-45.6791239,166.6155176,2012978,5483877
5841,-45.6787359,166.6166682,2013064,5483927
5842,-45.6779328,166.6174918,2013121,5484021
5843,-45.6773114,166.6185011,2013194,5484096
5844,-45.6763955,166.6182559,2013167,5484196
5845,-45.6755538,166.6177192,2013118,5484286
5846,-45.6748245,166.6185731,2013178,5484372
5847,-45.6741092,166.6195155,2013245,5484457
5848,-45.6731695,166.6196592,2013248,5484562
5849,-45.6722982,166.6198981,2013259,5484660
5901,-45.6698778,166.575655,2009801,5484658
5902,-45.670268,166.5743882,2009706,5484607
